,TimeUS,timestamp,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,terrain_cm,sub_cm,rf_cm,signal_quality
2507,157898739,1705603397.7993827,0.4675553441047668,0.0,0.4636817276477813,0.5,-11.241406440734863,-11.242326736450195,-11.336569786071776,8.86,8.790000000000001,-20.155838012695312,-11,-13,-2000.0,-1124.71826376915,874.0,100.0
2508,157960124,1705603397.899343,0.4718489348888397,0.0,0.4680610001087188,0.5,-11.25282382965088,-11.25442886352539,-11.33664608001709,8.86,8.790000000000001,-20.15060806274414,-10,-11,-2000.0,-1124.71826376915,874.0,100.0
2509,158000549,1705603397.899343,0.4718489348888397,0.0,0.4680610001087188,0.5,-11.25282382965088,-11.25442886352539,-11.33664608001709,8.86,8.790000000000001,-20.15060806274414,-10,-11,-2000.0,-1125.7872663002013,869.0,100.0
2510,158060084,1705603397.999303,0.4737293720245361,0.0,0.4716629981994629,0.5,-11.263012886047363,-11.26482105255127,-11.348295211791992,8.86,8.84,-20.153114318847656,-9,-10,-2000.0,-1125.7872663002013,869.0,100.0
2511,158160044,1705603398.0992627,0.4762870371341705,0.0,0.4742577672004699,0.5,-11.27202606201172,-11.273578643798828,-11.360895156860352,8.86,8.76,-20.14386749267578,-7,-9,-2000.0,-1125.7872663002013,869.0,100.0
2512,158200965,1705603398.0992627,0.4762870371341705,0.0,0.4742577672004699,0.5,-11.27202606201172,-11.273578643798828,-11.360895156860352,8.86,8.76,-20.14386749267578,-7,-9,-2000.0,-1127.5758615693048,876.0,100.0
2513,158260004,1705603398.199223,0.4805916845798492,0.0,0.4777148962020874,0.5,-11.279869079589844,-11.281072616577148,-11.37133502960205,8.86,8.74,-20.134428024291992,-6,-8,-2000.0,-1127.5758615693048,876.0,100.0
2514,158299709,1705603398.199223,0.4805916845798492,0.0,0.4777148962020874,0.5,-11.279869079589844,-11.281072616577148,-11.37133502960205,8.86,8.74,-20.134428024291992,-6,-8,-2000.0,-1128.3102561950682,866.0,100.0
2515,158360797,1705603398.300016,0.4886220395565033,0.0,0.4832949936389923,0.5,-11.2865629196167,-11.287628173828123,-11.379538536071776,8.86,8.74,-20.12507438659668,-5,-6,-2000.0,-1128.3102561950682,866.0,100.0
2516,158400544,1705603398.300016,0.4886220395565033,0.0,0.4832949936389923,0.5,-11.2865629196167,-11.287628173828123,-11.379538536071776,8.86,8.74,-20.12507438659668,-5,-6,-2000.0,-1128.9152692794798,875.0,100.0
