TimeUS,terrain_cm,sub_cm,rf_cm,signal_quality
87799446,-1900.0,-1033.4625020503997,870,100
87999497,-1900.0,-1021.5116330146786,871,100
88093379,-1900.0,-1015.9726181983946,887,100
88187415,-1900.0,-1010.7374422550199,896,100
88199334,-1900.0,-1010.0759299926756,895,100
88398540,-1900.0,-999.6487513748242,907,100
88495237,-1900.0,-994.8867957685458,905,100
88599454,-1900.0,-990.3944454193113,911,100
88693885,-1900.0,-986.3339157104489,911,100
88800046,-1900.0,-982.4903083801272,911,100
88896434,-1900.0,-979.0203453063968,935,100
88999330,-1900.0,-975.9300909042361,931,100
89198373,-1900.0,-970.6177276611328,928,100
89292413,-1900.0,-968.4077784061432,933,100
89399476,-1900.0,-966.5066649627686,935,100
89494761,-1900.0,-964.8391785335541,935,100
89600381,-1900.0,-963.771325357162,936,100
89698241,-1900.0,-962.7998791694642,944,100
89799463,-1900.0,-962.7492682933807,941,100
89894546,-1900.0,-962.7017266750336,925,100
90000265,-1900.0,-963.4158615112306,929,100
90094769,-1900.0,-964.0773886680604,942,100
90198514,-1900.0,-965.5072087631225,943,100
90294537,-1900.0,-966.8515319213867,936,100
90399446,-1900.0,-968.6332512246904,936,100
90598502,-1900.0,-972.3807917594911,927,100
90694868,-1900.0,-974.3563030719757,931,100
90798652,-1900.0,-976.9413060188292,924,100
90894417,-1900.0,-979.3354457855223,918,100
90998437,-1900.0,-982.3416922569272,918,100
91198489,-1900.0,-988.1939302921294,917,100
91292147,-1900.0,-990.9568544864655,903,100
91388973,-1900.0,-993.9051828861236,903,100
91400295,-1900.0,-994.2505271129606,906,100
91599450,-1900.0,-1000.258225033888,904,100
91694971,-1900.0,-1003.1095973683824,889,100
91790342,-1900.0,-1005.9240972995758,891,100
91800244,-1900.0,-1006.2162119388581,897,100
91999326,-1900.0,-1011.8864673137667,885,100
92094490,-1900.0,-1014.5034986495974,887,100
92198347,-1900.0,-1017.2090360870362,892,100
92293563,-1900.0,-1019.6846592178347,881,100
92400544,-1900.0,-1022.2219125373881,883,100
92599682,-1900.0,-1026.5023030757907,882,100
92695696,-1900.0,-1028.3745858192444,871,100
92793393,-1900.0,-1029.9904925823214,873,100
92799437,-1900.0,-1030.09022026062,861,100
92998433,-1900.0,-1033.2215005874632,866,100
93094739,-1900.0,-1034.66609544754,867,100
93191779,-1900.0,-1035.7899685382843,866,100
93201231,-1900.0,-1035.8986617088317,864,100
93299589,-1900.0,-1037.0245967388155,863,100
93399302,-1900.0,-1037.971877861023,848,100
93400302,-1900.0,-1037.981377861023,862,100
93496494,-1900.0,-1038.8952018737793,866,100
93600231,-1900.0,-1039.4677737884522,863,100
93800544,-1900.0,-1039.896970268743,852,100
93898851,-1900.0,-1039.79446811676,861,100
